,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
2256,One with Others,dance,dance,19/11/2013,15/10/2013,successful,10174.11,10000,35,2013,Q3,0.017411
3680,One year DREAM,dance,dance,28/08/2014,17/08/2014,failed,883.84,8291.19,11,2014,Q1,NA
495,Oni's First Dance Residency in New York,dance,dance,22/05/2012,01/05/2012,successful,2687,2000,21,2012,Q2,0.3435
3273,Online-Tanzkurs f¸r Hochzeitspaare,dance,dance,12/04/2017,18/03/2017,failed,186.03,1063,25,2017,Q2,NA
1746,OntheFloor. with The Dance Cartel,dance,dance,22/05/2012,19/04/2012,successful,4430,4000,33,2012,Q3,0.1075
412,OosImaginary Summer Tour Project,dance,dance,07/06/2010,29/04/2010,successful,4633,3500,39,2010,Q3,0.323714286
2724,Open for Dancing 2013,dance,dance,07/09/2013,08/08/2013,successful,7795,7500,30,2013,Q2,0.039333333
2791,Open Mouvement: a Dance School in a New Cultural Center,spaces,dance,27/07/2017,07/06/2017,failed,516.38,10327.59,50,2017,Q4,NA
1426,Open through Dance,dance,dance,10/06/2017,11/05/2017,failed,36,1700,30,2017,Q2,NA
1662,Opening Club in historic building to service the community,spaces,dance,12/10/2017,12/09/2017,canceled,0,10000,30,2017,Q2,NA
694,Opening Night in Bed-Stuy,dance,dance,17/12/2014,18/10/2014,failed,13417.5,80000,60,2014,Q4,NA
668,Operation Dancing Feet!,dance,dance,18/11/2013,09/10/2013,successful,13028,5000,40,2013,Q3,1.6056
3373,Operation Reopen Metro!,spaces,dance,19/11/2014,25/10/2014,failed,6,8000,25,2014,Q2,NA
3632,Operation Save Lotus,performances,dance,07/12/2017,08/10/2017,failed,90,3500,60,2017,Q4,NA
1194,Operation: Velocity Cheer Athletics Gym!,dance,dance,20/04/2014,21/03/2014,failed,108,10000,30,2014,Q2,NA
2210,Orbitreeum: MotionArt at the MN Landscape Arboretum,performances,dance,18/08/2014,22/07/2014,successful,5505,5288,27,2014,Q2,0.041036309
3745,OREGON BIRD SKETCHES - ALDancers 15th anniversary,performances,dance,11/04/2018,13/03/2018,successful,5750,5000,29,2018,Q2,0.15
3038,Oriental Opera - Playing For Healing Program,spaces,dance,16/05/2016,17/03/2016,failed,3.05,64855.79,60,2016,Q4,NA
2302,Origin Dance crew project,dance,dance,27/06/2011,18/05/2011,failed,10,1000,40,2011,Q3,NA
3380,Original dance/theatre show 'The Sun Shining On Her Hands',performances,dance,28/05/2015,28/04/2015,successful,1301.46,1068.02,30,2015,Q2,0.218572686
35,Original High School Dance Production: Nutcracker '41,performances,dance,08/11/2014,24/09/2014,successful,2191,1700,45,2014,Q3,0.288823529
3413,OrigiNation Tour to Trinidad,performances,dance,06/03/2016,05/02/2016,failed,13,10000,30,2016,Q2,NA
2562,orphans and bAstards - what it means to be adopted,dance,dance,01/03/2014,08/02/2014,failed,2455,3000,21,2014,Q2,NA
2914,OSPA Academy road to Hackney Empire,performances,dance,03/01/2015,04/12/2014,failed,84.82,4544.08,30,2014,Q2,NA
3377,Otaku Inc 2nd Annual Kiba Bass Rave,dance,dance,23/08/2012,09/08/2012,failed,11,375,14,2012,Q1,NA
1141,OtherShore Partners with Stephen Petronio,dance,dance,01/12/2010,13/10/2010,failed,2620,15000,49,2010,Q4,NA
3585,Our Circles and Lines: Stories Inspired by Folk Dances,performances,dance,19/01/2017,20/12/2016,successful,1759.65,1495.66,30,2016,Q2,0.176504018
1825,"Our first time in Budapest: Performances, Classes and More",dance,dance,14/03/2014,21/02/2014,successful,6008,5500,21,2014,Q2,0.092363636
2266,Our Mission: An Injury-Free World For Breakers/Dancers,dance,dance,03/10/2014,03/09/2014,failed,4194.92,9631.76,30,2014,Q2,NA
2391,Our new show Tidy Up,performances,dance,02/09/2017,04/07/2017,successful,6778.72,6606.94,60,2017,Q4,0.025999933
3947,Our own studio home!!,spaces,dance,11/03/2018,09/02/2018,failed,20,10000,30,2018,Q2,NA
