"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"194","The mining heritage of Barnsley","photography","photography",2014-07-23,2014-06-24,"failed",8.49,4247.01,29,"2014","Q2",NA
"195","Grand Rapids: Capturing a Journey Through Time","places","photography",2014-08-17,2014-08-02,"successful",850,650,15,"2014","Q1",0.307692307692308
"196","LA VINTAGE FARMHOUSE PICTORIAL JOURNAL &  BRAND  STORY","photobooks","photography",2015-03-22,2015-01-21,"failed",0,10000,60,"2015","Q4",NA
"197","Focus Forward.","photography","photography",2013-02-01,2013-01-16,"failed",0,25000,16,"2013","Q2",NA
"198","Picture of Earth from Super High Altitude","nature","photography",2017-10-25,2017-09-25,"failed",40,6000,30,"2017","Q2",NA
"199","TIME AROUND US: CUBA 2012 -360°photo/video timelapse project","photography","photography",2012-07-01,2012-05-25,"failed",811,6000,37,"2012","Q3",NA
"200","Scars are Beautiful","photobooks","photography",2015-01-04,2014-11-25,"failed",0,4230.12,40,"2014","Q3",NA
"201","PICTURE BERLIN's International Festival celebrates 5 years","photography","photography",2014-05-31,2014-05-01,"successful",7094,7000,30,"2014","Q2",0.0134285714285714
"202","Untold Stories: Faces of Alang","people","photography",2016-09-19,2016-08-22,"canceled",150,12500,28,"2016","Q2",NA
"203","Save Nature","nature","photography",2016-07-12,2016-05-13,"failed",20,2e+06,60,"2016","Q4",NA
"204","Five Nights in Habana (Canceled)","places","photography",2015-10-20,2015-09-11,"canceled",0,400,39,"2015","Q3",NA
"205","Artist in Residence Program in Italy","photography","photography",2011-04-30,2011-03-11,"failed",615,8000,50,"2011","Q4",NA
"206","Sarah Sartain at FreeRange, London.","photography","photography",2015-06-18,2015-05-19,"successful",535.34,395.96,30,"2015","Q2",0.352005253055864
"207","Cost-share a product shoot","photography","photography",2017-10-06,2017-09-08,"failed",0,2021.14,28,"2017","Q2",NA
"208","Aerial Photography Business Taking Realty to new Heights","photography","photography",2014-09-10,2014-08-11,"failed",15,32000,30,"2014","Q2",NA
"209","SUBTLE ANGELS: SAMANTHA- FINE ART NUDES","fine art","photography",2016-08-08,2016-08-02,"successful",435,199,6,"2016","Q1",1.18592964824121
"210","Detrich Burgess and Freedom Album Release","photography","photography",2013-05-11,2013-03-13,"failed",72,2500,59,"2013","Q4",NA
"211","Photo Exhibition - BOND BOUND(2)","photography","photography",2011-03-24,2011-03-14,"successful",295,250,10,"2011","Q1",0.18
"212","Waterlife – an Underwater Fine Art Photo Exhibition & Book","fine art","photography",2016-08-20,2016-07-21,"successful",3001.46,2855.14,30,"2016","Q2",0.0512479247952815
"213","Dream Catcher: Photography Book (Canceled)","photography","photography",2013-10-31,2013-10-11,"canceled",144,6000,20,"2013","Q2",NA
