,name,sub_category,main_category,deadline,launched,status,pledged_usd,goal_usd,duration,year,quarter,profit
4975,Sidecar Press Calendar 2018: California Coastal Wildlife,printing,crafts,05/11/2017,21/10/2017,successful,787,450,15,2017,Q1,0.748888889
4000,Sidekick & Hero Goes Cosmetic (Canceled),diy,crafts,08/06/2015,09/04/2015,canceled,0,300,60,2015,Q4,NA
518,Sidekick Votive Candle: create your perfect scent,candles,crafts,22/10/2017,22/09/2017,failed,25,1050,30,2017,Q2,NA
5813,Sierra Balms - Handmade bath & body products,crafts,crafts,08/10/2014,08/09/2014,failed,0,2000,30,2014,Q2,NA
8529,Sierra Blanca - An opportunity for young artists & Ecuador,crafts,crafts,09/03/2015,13/02/2015,canceled,161,5000,24,2015,Q2,NA
9502,SIGIL CARDS,printing,crafts,18/12/2018,18/11/2018,failed,818.2885633,22604.05,30,2018,Q2,NA
7232,Signature Wood Pens - Hand Turned & Customized For You,woodworking,crafts,21/10/2015,07/10/2015,successful,1799,750,14,2015,Q1,1.398666667
8535,Signs/Blackboard with LED,woodworking,crafts,24/05/2016,24/04/2016,failed,60.07,1501.75,30,2016,Q2,NA
5695,Silhouette Cards,crafts,crafts,08/10/2016,28/09/2016,failed,1.22,244.73,10,2016,Q1,NA
3484,Silicone Jewelry for moms and babies!,crafts,crafts,21/09/2015,22/08/2015,failed,310.22,751.15,30,2015,Q2,NA
1778,Siliski Soaps,crafts,crafts,14/03/2017,12/02/2017,successful,1037,1000,30,2017,Q2,0.037
6953,Silk Screen,printing,crafts,25/09/2015,11/08/2015,successful,205,175,45,2015,Q3,0.171428571
1670,Silly Heads Plush Toys,crafts,crafts,22/10/2016,20/09/2016,canceled,30,1700,32,2016,Q3,NA
3904,Silly Panda Co Embroidery Machine,crafts,crafts,03/07/2016,04/05/2016,failed,319.46,1558.36,60,2016,Q4,NA
736,Silly Panda embroidery machine,crafts,crafts,06/04/2016,07/03/2016,failed,592.57,3518.85,30,2016,Q2,NA
2142,Silly Sweet Shop Professional Space,crafts,crafts,02/05/2016,07/03/2016,failed,436,2500,56,2016,Q4,NA
4320,Silouettes in wood,woodworking,crafts,24/09/2014,25/08/2014,failed,60,3000,30,2014,Q2,NA
5306,Silver Fox Furniture,woodworking,crafts,03/09/2015,04/08/2015,failed,0,15000,30,2015,Q2,NA
3007,"Silver jewelry, necklaces, rings, bracelets",crafts,crafts,16/02/2017,27/01/2017,canceled,0,10000,20,2017,Q2,NA
7824,Silver Rock Pendant Necklaces,diy,crafts,19/11/2014,15/10/2014,failed,15,250,35,2014,Q3,NA
287,Silvered Soda Souvenirs,crafts,crafts,22/04/2014,02/04/2014,failed,411,1000,20,2014,Q2,NA
