"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"15441","JR Hermann Handmade Shoes","footwear","fashion",2017-11-17,2017-10-03,"failed",5124,14000,45,"2017","Q3",NA
"15442","Make Art & Chill shirts","apparel","fashion",2015-12-14,2015-12-07,"failed",42,100,7,"2015","Q1",NA
"15443","Belt 13, The Minimalist Belt","accessories","fashion",2015-07-17,2015-06-17,"failed",23,5000,30,"2015","Q2",NA
"15444","Leolola. photo art on fine scarves made in Italy","fashion","fashion",2015-08-02,2015-07-03,"failed",3457.37,8205.78,30,"2015","Q2",NA
"15445","Roosevelt Tree Army","fashion","fashion",2013-08-30,2013-07-29,"successful",12596,11500,32,"2013","Q3",0.095304347826087
"15446","Tuanh Dinh LLC- Fashion Design Company","accessories","fashion",2017-08-09,2017-07-10,"failed",0,10000,30,"2017","Q2",NA
"15447","New Ideals-A Collection by Brittney Jones","fashion","fashion",2014-01-01,2013-11-29,"failed",595,5000,33,"2013","Q3",NA
"15448","Cherry Blossom Mickey Enamel Pin","accessories","fashion",2017-08-20,2017-08-11,"failed",36,200,9,"2017","Q1",NA
"15449","YAY Convertible Clothing","fashion","fashion",2014-10-31,2014-10-01,"failed",1281,10000,30,"2014","Q2",NA
"15450","Impulsive Minds Graphic Tees","apparel","fashion",2014-07-16,2014-06-01,"failed",40,5000,45,"2014","Q3",NA
"15451","StoweyJoey: to-go bag, baby mat, modern rug, waterproof pad","childrenswear","fashion",2015-07-26,2015-06-24,"canceled",0,14000,32,"2015","Q3",NA
"15452","Primrose Paris","apparel","fashion",2014-11-09,2014-10-10,"failed",0,10000,30,"2014","Q2",NA
"15453","Double Agent Shoes - Ladies Shoes with Secret Compartment","fashion","fashion",2012-06-25,2012-04-26,"canceled",0,25000,60,"2012","Q4",NA
"15454","Veinglory","apparel","fashion",2015-07-06,2015-06-06,"failed",0,2327.64,30,"2015","Q2",NA
"15455","UoP Fashion & Textiles Graduate Showcase","apparel","fashion",2015-01-31,2014-12-13,"failed",38.29,306.36,49,"2014","Q4",NA
"15456","DIY Trendy 5 Minute Faux Nail Manicure | Yass Beauty Co.","ready-to-wear","fashion",2016-07-22,2016-06-22,"failed",374,12500,30,"2016","Q2",NA
"15457","Kelly Brinn's Debut Collection for Fall 2012","fashion","fashion",2012-02-08,2011-12-10,"failed",100,20000,60,"2011","Q4",NA
"15458","Modern Streetwear for Hypebeasts and Fashionistas","apparel","fashion",2017-03-30,2017-02-28,"failed",0,575,30,"2017","Q2",NA
"15459","Soft Bamboo clothing for Paddleboard and Kiteboard lovers","fashion","fashion",2015-05-09,2015-04-09,"failed",576,45500,30,"2015","Q2",NA
"15460","Are you TENACIOUS enough? Not your average Workout Apparel!","fashion","fashion",2013-09-01,2013-08-07,"failed",10,4000,25,"2013","Q2",NA
"15461","Legalize Marijuana T-Shirt Company -A Friend in Weed Apparel","apparel","fashion",2015-09-18,2015-08-19,"failed",0,3000,30,"2015","Q2",NA
"15462","Wicked Hex Apparel (Canceled)","apparel","fashion",2016-05-14,2016-04-14,"canceled",0,5000,30,"2016","Q2",NA
"15463","Detour Global Fly: Dress H.I.M.","apparel","fashion",2016-12-14,2016-11-04,"failed",0,8500,40,"2016","Q3",NA
"15464","Be. Butterfly Effect","childrenswear","fashion",2015-10-16,2015-09-16,"failed",1263,10000,30,"2015","Q2",NA
"15465","ManUP&... A brand about OWNING who you are","fashion","fashion",2015-12-03,2015-11-03,"failed",0,40000,30,"2015","Q2",NA
"15466","Bespokez Launch","footwear","fashion",2014-09-19,2014-08-20,"successful",15340,15000,30,"2014","Q2",0.0226666666666667
"15467","Bowery & Fourth - Business wear for the Urban Gentlewoman","ready-to-wear","fashion",2015-12-11,2015-10-28,"successful",15728.1,14676.53,44,"2015","Q3",0.071649770075079
"15468","African Arts","accessories","fashion",2015-06-14,2015-05-13,"successful",10931,6000,32,"2015","Q3",0.821833333333333
"15469","Women's ready to wear Fall/Winter 2014-15 collection","fashion","fashion",2014-03-13,2014-02-11,"failed",67,12500,30,"2014","Q2",NA
"15470","Danielle Morgan London- Giving back to the community!","ready-to-wear","fashion",2015-03-27,2015-03-02,"canceled",581.63,38676.09,25,"2015","Q2",NA
