"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"650","MNSTR Media Project @ Vans Warped Tour 2016 (Canceled)","journalism","journalism",2016-07-10,2016-06-13,"canceled",58.29,310.9,27,"2016","Q2",NA
"651","Galactic Grizzly: Voicing YOUR Opinion on Gaming & Movies","web","journalism",2015-10-05,2015-08-21,"failed",37,7000,45,"2015","Q3",NA
"652","Spitfire Sound","audio","journalism",2015-06-30,2015-05-18,"failed",156.24,2343.57,43,"2015","Q3",NA
"653","Central Ontario Monthly","journalism","journalism",2013-11-18,2013-10-24,"failed",0.95,2846.03,25,"2013","Q2",NA
"654","Merlyn Carter: The Biography of an Uncommon Bushpilot","print","journalism",2014-10-18,2014-09-12,"successful",9000,6500,36,"2014","Q3",0.384615384615385
"655","Black Votes Matter 2016","video","journalism",2016-10-07,2016-09-07,"failed",21,1150,30,"2016","Q2",NA
"656","Electric Car Insider magazine - 2015 EV Buyers Guide","print","journalism",2014-12-02,2014-10-28,"successful",11953,10000,35,"2014","Q3",0.1953
"657","Draft To The Show Prospect Handbook","print","journalism",2015-05-09,2015-04-09,"failed",80,500,30,"2015","Q2",NA
"658","School Newspaper","print","journalism",2016-07-23,2016-06-08,"failed",168,500,45,"2016","Q3",NA
"659","THE PEOPLE'S REPORTER","web","journalism",2014-08-24,2014-07-25,"failed",0,41455.93,30,"2014","Q2",NA
"660","Investigating the Intern Economy","journalism","journalism",2013-06-27,2013-05-28,"successful",23711.05,22000,30,"2013","Q2",0.077775
"661","Immediate Political Accountability Resource (I-PAR)","journalism","journalism",2016-05-18,2016-04-18,"failed",2,3e+06,30,"2016","Q2",NA
"662","My Brother Has Sickle Cell-lChildren's book series","journalism","journalism",2015-07-31,2015-07-01,"failed",1,2500,30,"2015","Q2",NA
"663","Conversations that Matter (Canceled)","web","journalism",2014-10-13,2014-09-16,"canceled",311.33,88952.14,27,"2014","Q2",NA
"664","FIGHT KINGDOM PODCAST","audio","journalism",2018-01-01,2017-12-02,"failed",0,1960.32,30,"2017","Q2",NA
"665","Marconi Water Tower - Community Radio Station Extra Floor","audio","journalism",2015-06-13,2015-04-14,"failed",681.05,15838.32,60,"2015","Q4",NA
"666","Excavation for Hominin Fossils!","web","journalism",2016-05-26,2016-05-01,"failed",1670,7000,25,"2016","Q2",NA
"667","Nutmeg Issue 1 Reprint","print","journalism",2017-07-31,2017-07-01,"successful",4552.39,2629.16,30,"2017","Q2",0.731499794611207
"668","iLocalize - People Powered News and Localized internet","web","journalism",2016-07-18,2016-05-19,"failed",26,45000,60,"2016","Q4",NA
"669","Sled Dogs: Reality Bites","journalism","journalism",2015-05-22,2015-04-22,"failed",220,5000,30,"2015","Q2",NA
"670","My dream of being a vlogger!!","video","journalism",2016-11-21,2016-10-07,"failed",0,50,45,"2016","Q3",NA
"671","The Common Sense Network | 100% People Funded News Network","video","journalism",2017-09-30,2017-08-10,"successful",66002.88,65376.57,51,"2017","Q4",0.00958003761898192
"672","Magazine Caribou","print","journalism",2014-07-20,2014-06-20,"successful",10277.67,9286.78,30,"2014","Q2",0.106698985008797
"673","Eastern Washington Wolves (All Wolves of Eastern Washington)","video","journalism",2014-10-08,2014-09-08,"failed",125,25000,30,"2014","Q2",NA
"674","Wholé Guacamolé","journalism","journalism",2013-06-22,2013-05-23,"failed",0,50000,30,"2013","Q2",NA
"675","TecnicaFormula1: ayuda a que el proyecto crezca","web","journalism",2016-08-07,2016-07-08,"failed",330.28,3905.29,30,"2016","Q2",NA
"676","20 stunning places and how everyone can go there","journalism","journalism",2014-08-23,2014-07-24,"failed",6.63,49747.12,30,"2014","Q2",NA
"677","idea Orgy: for naked minds...","journalism","journalism",2009-10-20,2009-09-12,"failed",0,2564,38,"2009","Q3",NA
"678","THANK A VETERAN- Homeless Veteran Photography storybook","journalism","journalism",2014-02-28,2014-02-13,"failed",25,9000,15,"2014","Q1",NA
"679","Break Forth Podcast Startup (Canceled)","audio","journalism",2015-06-29,2015-06-01,"canceled",200,200,28,"2015","Q2",0
"680","The American Dream in The XXI Century","photo","journalism",2017-08-31,2017-07-25,"failed",0,47679.78,37,"2017","Q3",NA
"681","Pyramid One Network - Worldwide FREE Truth Radio","audio","journalism",2017-03-03,2017-02-11,"failed",0,5500,20,"2017","Q2",NA
"682","Hopeless Joe Stays Hopeless","web","journalism",2014-09-24,2014-08-25,"failed",40,2500,30,"2014","Q2",NA
"683","Senegal Community Radio Project","audio","journalism",2015-01-31,2014-12-24,"failed",101.1,2290.03,38,"2014","Q3",NA
"684","Oil & Gas Chronicle.com","web","journalism",2015-04-18,2015-03-20,"failed",0,25000,29,"2015","Q2",NA
"685","Inter Rail","journalism","journalism",2017-01-04,2016-11-05,"successful",391.79,211.78,60,"2016","Q4",0.849985834356408
"686","La simbología en las catedrales","web","journalism",2015-08-25,2015-07-26,"failed",0,78.88,30,"2015","Q2",NA
"687","Substance Abuse & Harm Reduction. Let's Save Lives","journalism","journalism",2015-04-15,2015-02-14,"failed",50,2000,60,"2015","Q4",NA
"688","American Addiction","audio","journalism",2015-03-18,2015-02-16,"failed",401,7850,30,"2015","Q2",NA
"689","RoboAdvisors for Dummies","journalism","journalism",2014-11-13,2014-10-14,"failed",0,10000,30,"2014","Q2",NA
"690","Apoyo Periódico Regional De Jalisco","print","journalism",2016-11-28,2016-11-18,"failed",110.67,12029.64,10,"2016","Q1",NA
"691","Make BeerYeti.com amazing!","web","journalism",2015-05-25,2015-04-25,"failed",15.26,5568.95,30,"2015","Q2",NA
"692","Xbox Culture | Complete Site Overhaul","web","journalism",2015-07-01,2015-05-28,"failed",20.31,546.83,34,"2015","Q3",NA
"693","MOTORGIRLTRAVELS","photo","journalism",2016-02-20,2016-01-25,"successful",3165,1400,26,"2016","Q2",1.26071428571429
"694","Curator on the Go","web","journalism",2016-08-20,2016-07-01,"failed",1836.88,9596.5,50,"2016","Q4",NA
"695","Hitch-hiker musician's guide to.... the Golden State","web","journalism",2014-09-02,2014-08-03,"failed",0,1629.59,30,"2014","Q2",NA
"696","ThisKnightSays (Canceled)","video","journalism",2015-03-28,2015-02-27,"canceled",0,2960.64,29,"2015","Q2",NA
"697","BeastonBoard Entertainment","print","journalism",2015-05-31,2015-04-01,"failed",28,20000,60,"2015","Q4",NA
"698","The Blog by Ninjas for Nerds (Canceled)","web","journalism",2014-08-08,2014-07-09,"canceled",0,350,30,"2014","Q2",NA
"699","A Magazine for the Future","print","journalism",2015-06-01,2015-04-17,"failed",75,10000,45,"2015","Q3",NA
"700","Marijuana legalize it","journalism","journalism",2015-03-04,2015-02-02,"failed",1,1700,30,"2015","Q2",NA
"701","REDUDANCY SUCKS","journalism","journalism",2015-06-10,2015-05-11,"failed",192.65,385.3,30,"2015","Q2",NA
"702","The Siren Speaks- blog","journalism","journalism",2017-07-01,2017-06-01,"failed",0,150,30,"2017","Q2",NA
"703","Tu Espacio, Apoyando el talento local","web","journalism",2017-08-11,2017-07-12,"failed",0,4167.82,30,"2017","Q2",NA
"704","SpaceX Journal: Boca Chica Spaceport Trip One","photo","journalism",2014-09-09,2014-08-10,"failed",101,500,30,"2014","Q2",NA
"705","Pescadero Teen Community Radio Project (Canceled)","journalism","journalism",2010-09-16,2010-08-17,"canceled",25,40000,30,"2010","Q2",NA
"706","The People Of Kickstarter","journalism","journalism",2013-11-01,2013-09-23,"failed",1051,10000,39,"2013","Q3",NA
"707","Haiti as it dances, not as it stumbles","print","journalism",2016-08-13,2016-07-14,"successful",5194,5000,30,"2016","Q2",0.0388
"708","Disyuntiva","web","journalism",2017-02-28,2017-01-12,"canceled",1400.53,6105.63,47,"2017","Q4",NA
"709","Exploration: Journalistic Study of an Eco Farm Community","journalism","journalism",2014-02-25,2014-02-07,"failed",0,5000,18,"2014","Q2",NA
"710","The Search for Eden Project","journalism","journalism",2014-05-05,2014-04-05,"failed",101,35250,30,"2014","Q2",NA
"711","The Survivors: Violence Against Women in Australia","print","journalism",2016-08-03,2016-07-04,"failed",30.63,57436.05,30,"2016","Q2",NA
"712","We Still Care - Environment news, support, and journalism.","web","journalism",2015-12-03,2015-11-03,"failed",50,20000,30,"2015","Q2",NA
"713","Joe Nocco Sports","web","journalism",2015-06-26,2015-05-27,"failed",50,1000,30,"2015","Q2",NA
"714","Documentary about Trump","video","journalism",2016-06-04,2016-05-05,"failed",0,1e+05,30,"2016","Q2",NA
"715","democracy just in time","web","journalism",2015-09-05,2015-08-06,"failed",0,11267.99,30,"2015","Q2",NA
"716","Traveling puppet needs people to tell his stories to, OK?","print","journalism",2014-11-21,2014-11-10,"successful",211,100,11,"2014","Q1",1.11
"717","Adopting a child","journalism","journalism",2014-12-21,2014-11-21,"failed",54.99,54985.34,30,"2014","Q2",NA
"718","Welcome to the Streets","journalism","journalism",2011-02-11,2011-01-04,"failed",200,19300,38,"2011","Q3",NA
"719","Actu Auto France","web","journalism",2015-09-16,2015-08-17,"failed",0,570.95,30,"2015","Q2",NA
"720","Queen Season Digital Wellness Magazine","web","journalism",2017-10-31,2017-10-18,"failed",51,8700,13,"2017","Q1",NA
"721","First Women's Sports Network: MyWSports","journalism","journalism",2016-01-01,2015-11-17,"failed",50,50000,45,"2015","Q3",NA
"722","Documenting Swedish-Americans in Oregon - genealogy project","web","journalism",2014-12-25,2014-11-25,"failed",591,2750,30,"2014","Q2",NA
"723","Life In the Shadow of Auschwitz","journalism","journalism",2010-06-19,2010-03-22,"successful",1402,1000,89,"2010","Q4",0.402
"724","Dangerous Cow Publishing","journalism","journalism",2015-07-20,2015-06-20,"failed",36,10000,30,"2015","Q2",NA
"725","WEALTHMEUNLIMITED the magazine edition","journalism","journalism",2016-02-24,2016-01-25,"failed",1,17000,30,"2016","Q2",NA
"726","The Takeover with Brian Gaddie","audio","journalism",2014-12-05,2014-10-06,"failed",6,1e+05,60,"2014","Q4",NA
"727","Top of the Barrel: The Martin & Will Story","print","journalism",2015-10-03,2015-09-23,"successful",135.05,100,10,"2015","Q1",0.3505
"728","Atheist News","web","journalism",2017-07-19,2017-05-20,"failed",161,50000,60,"2017","Q4",NA
"729","GameSplash","web","journalism",2015-05-01,2015-04-01,"failed",23.12,3853.39,30,"2015","Q2",NA
"730","Newsstream's Smart TV News","journalism","journalism",2014-04-19,2014-03-20,"failed",20,20000,30,"2014","Q2",NA
"731","El Aguila, The Eagle 2014/2015    K-12 Yearbook for 125 Kids","print","journalism",2015-04-24,2015-03-25,"successful",1550,1200,30,"2015","Q2",0.291666666666667
"732","The Appalachian Mountain Story Collection","print","journalism",2015-11-26,2015-10-15,"failed",25,25000,42,"2015","Q3",NA
"733","Trump Redux: Help us tell the real story about Donald Trump.","web","journalism",2016-04-11,2016-03-11,"canceled",105,250000,31,"2016","Q3",NA
"734","Baltimore Brew: A News Website For The City","journalism","journalism",2012-01-22,2011-12-08,"successful",24624,15000,45,"2011","Q3",0.6416
"735","The (Secular) Barbershop Podcast (Canceled)","audio","journalism",2015-09-14,2015-08-15,"canceled",0,2500,30,"2015","Q2",NA
"736","NewMusicforOldFolks.com / Music information","web","journalism",2016-07-04,2016-06-04,"failed",600,40000,30,"2016","Q2",NA
