"","name","sub_category","main_category","deadline","launched","status","pledged_usd","goal_usd","duration","year","quarter","profit"
"11923","UTOPIA","restaurants","food",2017-02-12,2016-12-23,"failed",1,95000,51,"2016","Q4",NA
"11924","Te Amo Pasta, organic hand made pastas and sauces","farmer's markets","food",2017-07-15,2017-06-28,"failed",30,10000,17,"2017","Q2",NA
"11925","SoCo Creamery Ice Cream -- Make More Happy -- Naturally!","food","food",2013-01-02,2012-11-28,"successful",39968,39907,35,"2012","Q3",0.00152855388778911
"11926","Brooklyn Biltong - New Peri Peri Flavor","small batch","food",2016-10-19,2016-09-19,"failed",5107,20000,30,"2016","Q2",NA
"11927","Melinda's Catering","spaces","food",2015-07-24,2015-06-24,"failed",0,15474.61,30,"2015","Q2",NA
"11928","Great Lakes Healthy Vending","spaces","food",2015-03-28,2015-02-26,"failed",0,23726.67,30,"2015","Q2",NA
"11929","Our best PIE yet!","small batch","food",2014-07-29,2014-07-15,"successful",9.38,9.38,14,"2014","Q1",0
"11930","Horticultural Farming for the Luo community in Nyanza, Kenya","farms","food",2014-09-27,2014-07-29,"failed",39.38,8751.97,60,"2014","Q4",NA
"11931","PerformanceKitchen.tv: Food, Flavor, Athletic Performance","food","food",2014-12-23,2014-11-28,"failed",930,30000,25,"2014","Q2",NA
"11932","Luxe Brew || Reusable Silk Coffee and Tea Filters","drinks","food",2016-04-20,2016-03-21,"failed",860,8000,30,"2016","Q2",NA
"11933","Split Rail Winery: Concrete Egg Wine Innovation Project","food","food",2015-08-16,2015-07-16,"successful",15486,14950,31,"2015","Q3",0.0358528428093646
"11934","WHEELHOUSE - Cycling-event based food vendor","food","food",2014-04-02,2014-03-03,"successful",8227,7500,30,"2014","Q2",0.0969333333333333
"11935","D'Lily Takeaway Restaurant (Canceled)","restaurants","food",2015-04-17,2015-02-16,"canceled",1392.5,60086.22,60,"2015","Q4",NA
"11936","Sweetbites Cafe and Bakery Re-Launch","food","food",2014-09-15,2014-07-29,"successful",12201,12000,48,"2014","Q4",0.01675
"11937","Handmade non-GMO Farmstead cheese.","farms","food",2017-03-18,2017-01-17,"failed",975,50000,60,"2017","Q4",NA
"11938","The Musket Room","food","food",2013-02-25,2013-02-06,"successful",25636.99,20000,19,"2013","Q2",0.2818495
"11939","Help Expand Holy Grounds for All People of Good Will!","spaces","food",2015-05-29,2015-04-29,"failed",4250,10000,30,"2015","Q2",NA
"11940","Julién's Tonic & Juice - Relaunched!","food","food",2013-05-01,2013-04-17,"successful",783,700,14,"2013","Q1",0.118571428571429
"11941","Leisure Sports Brewing","food","food",2011-09-25,2011-08-11,"failed",2800,15000,45,"2011","Q3",NA
"11942","Original Viking Mead","drinks","food",2017-01-12,2016-11-13,"failed",1608.74,19189.77,60,"2016","Q4",NA
"11943","Farm Fired: Support Farmers and Build Community Health","restaurants","food",2015-10-29,2015-09-28,"failed",563,75000,31,"2015","Q3",NA
"11944","Catfish 'n More","food trucks","food",2015-08-06,2015-07-07,"failed",0,250000,30,"2015","Q2",NA
"11945","Wiri's Original Pepper Sauce","restaurants","food",2016-11-18,2016-09-19,"failed",49.57,14798.37,60,"2016","Q4",NA
"11946","Bretzel-Pretzelv2 (Canceled)","food","food",2015-12-20,2015-10-21,"canceled",0,2600000,60,"2015","Q4",NA
"11947","Help the SEABIRDS TRUCK go Brick & Mortar","food","food",2012-04-30,2012-03-28,"failed",9021,1e+05,33,"2012","Q3",NA
"11948","Community Supported Kitchen (CSK)","restaurants","food",2017-12-23,2017-11-15,"successful",53498,50000,38,"2017","Q3",0.06996
"11949","HEMPEH Hemp Fortified Soy-Free Tempeh by Smiling Hara Tempeh","small batch","food",2014-11-06,2014-10-07,"successful",25035.34,20000,30,"2014","Q2",0.251767
"11950","Help Lil Beaver Brewery get started!","drinks","food",2016-06-13,2016-04-29,"successful",33046,20000,45,"2016","Q3",0.6523
"11951","Learn to make Awesome Chef Ramsey Risotto","farmer's markets","food",2014-08-12,2014-07-13,"failed",3,100,30,"2014","Q2",NA
"11952","Pemberley Foods is Going Retail","small batch","food",2015-04-25,2015-03-26,"failed",22,6000,30,"2015","Q2",NA
"11953","west coast cupcakes","food trucks","food",2015-03-08,2015-02-15,"failed",0,15000,21,"2015","Q2",NA
"11954","Mainstay | Coffee - Community - Causes","drinks","food",2017-06-03,2017-05-04,"successful",7915,7500,30,"2017","Q2",0.0553333333333333
"11955","Mansauce (Canceled)","food","food",2016-06-29,2016-04-30,"canceled",0,7738.14,60,"2016","Q4",NA
"11956","INTECO (International taste coffee/The special Coffee Shop)","restaurants","food",2016-07-05,2016-05-26,"failed",16.61,38745.1,40,"2016","Q3",NA
"11957","Food Karma: ""Thinking with our guts to support community""","food","food",2013-12-18,2013-10-19,"failed",4631,50000,60,"2013","Q4",NA
"11958","Eat like an Athlete","food","food",2014-12-26,2014-11-26,"failed",30.11,60214.85,30,"2014","Q2",NA
"11959","Lunch Anyone (Canceled)","food","food",2015-11-28,2015-10-28,"canceled",0,28198.99,31,"2015","Q3",NA
"11960","Chef De Belle","food","food",2017-03-07,2017-01-06,"failed",0,3038.96,60,"2017","Q4",NA
"11961","CherryPickPrices.com Restaurant Control Software","restaurants","food",2017-11-14,2017-09-15,"failed",0,25000,60,"2017","Q4",NA
"11962","Supa Fresh Tees","food","food",2012-03-25,2012-02-24,"successful",2881,2500,30,"2012","Q2",0.1524
"11963","Lungs of Fruit - Ecology","community gardens","food",2017-01-13,2016-12-14,"failed",449,5000,30,"2016","Q2",NA
"11964","Chroma Cafe and Bakery Hood and Expansion Project","restaurants","food",2014-05-30,2014-04-25,"successful",9900,9750,35,"2014","Q3",0.0153846153846154
"11965","BLgTUSA // The First 50 State Food Tour For Equality","food","food",2015-02-17,2015-01-19,"successful",150730,150000,29,"2015","Q2",0.00486666666666667
"11966","Cooking Class - Prepare & Package Enough Food for the Week.","food","food",2013-04-05,2013-03-06,"failed",600,4500,30,"2013","Q2",NA
"11967","""La Doña"" Dominican Restaurant","restaurants","food",2017-03-05,2017-02-03,"failed",0,275000,30,"2017","Q2",NA
"11968","Sugar Fixation on the go!","food trucks","food",2016-06-20,2016-04-22,"successful",14050,13000,59,"2016","Q4",0.0807692307692308
"11969","Organic & Sustainable Permaculture School in Dominican Rep.","community gardens","food",2017-05-27,2017-04-12,"canceled",719.79,3110.54,45,"2017","Q3",NA
"11970","October Roasters: For the Art and Beauty of Coffee!","food","food",2013-10-21,2013-10-01,"failed",605,60000,20,"2013","Q2",NA
"11971","VeggieDrop - Organic Produce Delivery at Affordable Prices!","food","food",2016-09-05,2016-08-06,"failed",169.79,7717.84,30,"2016","Q2",NA
"11972","Baby Bottle Yogurt Bracelet","drinks","food",2016-03-20,2016-01-20,"failed",0,158000,60,"2016","Q4",NA
"11973","BYOC Build Your Own Cupcake","food","food",2013-05-19,2013-03-29,"successful",5125,5000,51,"2013","Q4",0.025
"11974","Tegan's Cake Stall - The Special Ingredient","farmer's markets","food",2014-10-22,2014-10-08,"failed",43.97,307.77,14,"2014","Q1",NA
"11975","Burn-N-Grill","restaurants","food",2014-11-13,2014-10-14,"failed",0,7000,30,"2014","Q2",NA
"11976","An Ultimate Fusion of Jamaican Jerk & Moroccan Ras El Hanout","small batch","food",2016-02-04,2016-01-05,"successful",9336.75,4000,30,"2016","Q2",1.3341875
"11977","Pizzelles From Heaven©","food","food",2012-06-02,2012-05-03,"failed",890,6000,30,"2012","Q2",NA
"11978","512 Hot Dogs with MrPfranks","restaurants","food",2015-10-31,2015-10-09,"successful",4125,2944,22,"2015","Q2",0.401154891304348
"11979","Seven Layer Magic Cookie Bars (Canceled)","small batch","food",2015-08-21,2015-07-22,"canceled",100,31,30,"2015","Q2",2.2258064516129
"11980","Burst A Bouquet","small batch","food",2015-05-01,2015-03-02,"failed",15,170000,60,"2015","Q4",NA
"11981","Combat Boots 2 Garden Boots","farms","food",2014-11-26,2014-10-28,"failed",65,10000,29,"2014","Q2",NA
"11982","New Fribque BBQ Infusion Sauce","food","food",2015-04-30,2015-03-31,"failed",0,5000,30,"2015","Q2",NA
"11983","Engaging Cooks Center- Food Creation, Education & Events","spaces","food",2015-04-19,2015-02-18,"failed",26,350000,60,"2015","Q4",NA
"11984","JingSlingers ""Food with Benefits"" SuperFood Cookbook","cookbooks","food",2015-08-22,2015-07-15,"successful",41128,35000,38,"2015","Q3",0.175085714285714
"11985","SugarCoated Creations","restaurants","food",2016-09-04,2016-07-06,"failed",25,150000,60,"2016","Q4",NA
"11986","Taste N See Desserts","food","food",2015-07-11,2015-06-11,"failed",50,10000,30,"2015","Q2",NA
"11987","Sweet Délice 2","food","food",2015-11-11,2015-10-02,"successful",9289.36,8611.22,40,"2015","Q3",0.0787507461195976
"11988","The Noble Pie:  An Ancient Grain Revolution","farms","food",2014-09-10,2014-08-11,"failed",172,10000,30,"2014","Q2",NA
"11989","project S?ra- an underground dining platform","events","food",2014-08-31,2014-07-17,"failed",25,35000,45,"2014","Q3",NA
"11990","Nutrition by Design Fit Meals Microwaveable Trays","food","food",2014-04-12,2014-03-13,"failed",2077,30000,30,"2014","Q2",NA
"11991","Help opening a Café/Bar/Pub !!!","drinks","food",2014-11-20,2014-09-22,"failed",190.06,6211.03,59,"2014","Q4",NA
"11992","Websters grill truck       slow cooked meats","food trucks","food",2015-09-07,2015-08-08,"failed",0,10593.22,30,"2015","Q2",NA
"11993","Dean Family Farm: Heritage Livestock Facilities Improvements","food","food",2011-12-11,2011-11-11,"failed",3356,40000,30,"2011","Q2",NA
"11994","Insect Catcher","restaurants","food",2015-12-19,2015-11-19,"failed",0,648882.48,30,"2015","Q2",NA
"11995","Help Kyra","events","food",2014-08-17,2014-07-18,"failed",166.1,593.23,30,"2014","Q2",NA
"11996","Send Bacon To Space!","bacon","food",2014-08-27,2014-07-28,"failed",168,5000,30,"2014","Q2",NA
"11997","Acorn Coffee Co.","food","food",2014-12-14,2014-11-14,"failed",240,1500,30,"2014","Q2",NA
"11998","Maxx Tap & Keg Co.","drinks","food",2016-10-27,2016-09-26,"failed",13950,75000,31,"2016","Q3",NA
"11999","Just N Cakes","food","food",2012-10-13,2012-08-14,"failed",470,25000,60,"2012","Q4",NA
"12000","hydroponic Greenhouse","food","food",2014-08-22,2014-07-23,"failed",30,50000,30,"2014","Q2",NA
"12001","Cookies for the Community, Oskarmade Cookies","small batch","food",2016-09-26,2016-08-21,"failed",4366,10000,36,"2016","Q3",NA
"12002","The Grainfather - All in One, All Grain Brewing System","drinks","food",2015-03-04,2015-02-02,"successful",145926,50000,30,"2015","Q2",1.91852
"12003","Toosum 100-calorie, gluten-free, super-tasty oatmeal bars","food","food",2017-04-24,2017-03-10,"failed",532,14950,45,"2017","Q3",NA
"12004","cafeteria cuax and sun","food","food",2017-05-25,2017-04-10,"failed",27.61,1894.55,45,"2017","Q3",NA
"12005","Essence by Chocolate ~ chocolates for perfect pairings","food","food",2012-11-22,2012-10-23,"failed",3995,20000,30,"2012","Q2",NA
"12006","Pod72 Chocolate is Growing with Kickstarter (Canceled)","spaces","food",2014-08-08,2014-07-09,"canceled",275,9999,30,"2014","Q2",NA
"12007","Vegerator: What’s in your fridge?","food","food",2010-08-13,2010-07-09,"failed",752,1500,35,"2010","Q3",NA
"12008","Chocolate@22","small batch","food",2017-03-08,2017-01-12,"canceled",3627.3,4254.54,55,"2017","Q4",NA
"12009","MEGAFUSION (Canceled)","vegan","food",2016-06-14,2016-04-30,"canceled",0,11627.01,45,"2016","Q3",NA
"12010","SweetBites Confections® Design Your Own Lollipops!","food","food",2015-07-31,2015-06-11,"failed",752,15000,50,"2015","Q4",NA
"12011","Latte Art Love Pop Up Cafe - Memorable Art right in your cup","events","food",2014-08-17,2014-06-18,"failed",821.39,14602.54,60,"2014","Q4",NA
"12012","QUAKE! Brewing Company","drinks","food",2016-02-15,2016-01-26,"failed",2636,10000,20,"2016","Q2",NA
"12013","Raw Popsicles- Nature's Frozen Treat","food","food",2013-08-13,2013-07-09,"successful",6020,6000,35,"2013","Q3",0.00333333333333333
"12014","Eat Your Sidewalk!","food","food",2012-06-03,2012-05-04,"failed",7179,23000,30,"2012","Q2",NA
"12015","Stark Raven Farm Urban Market Garden","farms","food",2016-03-24,2016-02-23,"successful",6029,6000,30,"2016","Q2",0.00483333333333333
"12016","Mable's Old-Fashion Southern Fried Chicken Mix","food","food",2010-10-01,2010-08-01,"failed",65,5500,61,"2010","Q4",NA
"12017","DALE! La ULTIMA Caja China Project","small batch","food",2014-12-17,2014-11-17,"successful",625,600,30,"2014","Q2",0.0416666666666667
"12018","DR. HENDLER'S MINTS: For Fresh Breath and Good Health","food","food",2015-05-12,2015-03-30,"failed",8695,1e+05,43,"2015","Q3",NA
